,Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
10,INV-24304900009,02-01-2020,4503,Casey's General Store #38 / Treynor,102 W Main St,Treynor,51575,POINT (-95.617322 41.232472),78,POTTAWATTA,1031100,American Vodkas,300,McCormick Distilling Co.,36904,McCormick 80prf Vodka PET,24,375,1.8,2.7,120,324,45,11.88
11,INV-24308800065,02-01-2020,2601,Hy-Vee Food Store / Fairfield,1300 West Burlington Ave,Fairfield,52556,POINT (-91.978702 41.006456),51,JEFFERSON,1081600,Whiskey Liqueur,259,Heaven Hill Brands,86796,Southern Host Whiskey Liqueur,12,750,5.37,8.06,6,48.36,4.5,1.18
12,INV-24304500040,02-01-2020,3443,Super Saver Iv,1141 N Broadway,Council Bluffs,51503,POINT (-95.836515 41.270824),78,POTTAWATTA,1031100,American Vodkas,297,Laird & Company,35914,Five O'Clock Vodka,24,375,1.93,2.9,3,8.7,1.12,0.29
13,INV-24294900216,02-01-2020,2647,Hy-Vee #7 / Cedar Rapids,5050 Edgewood Rd,Cedar Rapids,52411,POINT (-91.701581 42.030129),57,LINN,1022200,100% Agave Tequila,65,Jim Beam Brands,88841,Hornitos Black Barrel,12,750,15.74,23.61,2,47.22,1.5,0.39
14,INV-24310600174,02-01-2020,2565,Hy-Vee Food Store #1636 / Spencer,819 N Grand Ave,Spencer,51301,POINT (-95.14506 43.145897),21,CLAY,1011400,Tennessee Whiskies,85,Brown Forman Corp.,86668,Jack Daniels Tennessee Honey Mini,12,50,9.06,13.59,1,13.59,0.05,0.01
15,INV-24296400056,02-01-2020,2529,Hy-Vee Drugstore #4 / Cedar Rapids,4825 Johnson Ave NW,Cedar Rapids,52405,POINT (-91.73337 41.968343),57,LINN,1081200,Cream Liqueurs,330,Gemini Spirits,80458,Ryans Cream Liqueur,6,1750,11.54,17.31,6,103.86,10.5,2.77
16,INV-24311900007,02-01-2020,5435,Junction Liquor,"10 3rd St. NW, Ste B",Hartley,51346,POINT (-95.477367 43.184821),71,OBRIEN,1082000,Imported Cordials & Liqueurs,192,"Mast-Jagermeister US, Inc",65251,Jagermeister Liqueur Mini,5,50,29.53,44.3,1,44.3,0.05,0.01
17,INV-24304100066,02-01-2020,5314,Tobacco Hut & Liquor,3134 Manawa Center Dr. # 9,Council Bluffs,51501,POINT (-95.847514 41.228712),78,POTTAWATTA,1031100,American Vodkas,301,FIFTH GENERATION INC,38176,Titos Handmade Vodka,12,750,10,15,2,28.92,1.5,0.39
18,INV-24293500009,02-01-2020,2620,Hy-Vee / Windsor Heights,7101 University Ave,Windsor Heights,50311,POINT (-93.619787 41.60566),77,Polk,1011100,Blended Whiskies,492,WESTERN SPIRITS BEVERAGE,27433,Bird Dog Peach,6,750,10,15,6,90,4.5,1.18
19,INV-24293900134,02-01-2020,2648,Hy-Vee #4 / WDM,555 S 51st St,West Des Moines,50265,POINT (-93.773557 41.561197),77,POLK,1011600,Straight Rye Whiskies,287,CHATHAM IMPORTS INC,27060,Michters US*1 Kentucky Straight Single Barrel Rye,6,750,22.09,33.14,6,198.84,4.5,1.18
20,INV-24304200023,02-01-2020,3629,Wal-Mart 1965 / Council Bluffs,3200 Manawa Dr,Council Bluffs,51503,POINT (-93.619787 41.60566),78,POTTAWATTA,1012100,Canadian Whiskies,259,Heaven Hill Brands,11788,Black Velvet,6,1750,10.45,15.68,6,94.08,10.5,2.77
21,INV-24304500067,02-01-2020,3443,Super Saver Iv,1141 N Broadway,Council Bluffs,51503,POINT (-95.836515 41.270824),78,POTTAWATTA,1082200,Imported Schnapps,421,SAZERAC COMPANY  INC,69636,Dr McGillicuddys Cherry,12,750,8.66,12.99,6,77.94,4.5,1.18
22,INV-24292100017,02-01-2020,4726,Walgreens #07454 / Ankeny,901 N Ankeny Blvd,Ankeny,50021,POINT (-93.619787 41.60566),77,POLK,1031100,American Vodkas,301,FIFTH GENERATION INC,38176,Titos Handmade Vodka,12,750,10,15,12,173.52,9,2.37
23,INV-24295800086,02-01-2020,2605,Hy-Vee Drugstore #5 / Cedar Rapids,2001 Blairs Ferry Road NE,Cedar Rapids,52402,POINT (-91.668909 42.034799),57,LINN,1082200,Imported Schnapps,260,DIAGEO AMERICAS,69940,Rumple Minze Peppermint Schnapps Liqueur Mini,12,50,13.5,20.25,1,20.25,0.05,0.01
24,INV-24308700006,02-01-2020,2681,Hy-Vee C-Store / Fairfeild,1300 W Burlington,Fairfield,52556,POINT (-93.619787 41.60566),51,JEFFERSON,1022100,Mixto Tequila,395,PROXIMO,89194,Jose Cuervo Especial Reposado Flask,24,375,5.5,8.25,24,198,9,2.37
25,INV-24314100033,02-01-2020,5501,Quik Trip #530 / Euclid,1424 E Euclid Ave,Des Moines,50313,POINT (-93.619787 41.60566),77,POLK,1031200,American Flavored Vodka,205,E & J Gallo Winery,40192,New Amsterdam Pineapple,24,375,3.5,5.25,2,10.5,0.75,0.19
26,INV-24295600018,02-01-2020,3707,Target Store T-1768 / Cedar Rapids,1030 Blairs Ferry Rd NE,Cedar Rapids,52402,POINT (-91.649625 42.035157),57,LINN,1082000,Imported Cordials & Liqueurs,322,Prestige Wine & Spirits Group,65144,Il Tramonto Limoncello,6,750,10.5,15.75,6,94.5,4.5,1.18
27,INV-24305900006,02-01-2020,2191,Keokuk Spirits,1013 Main,Keokuk,52632,POINT (-91.387797 40.400038),56,LEE,1022200,100% Agave Tequila,619,Campari America,89136,Cabo Wabo Anejo,6,750,25,37.5,1,37.5,0.75,0.19
28,INV-24299200006,02-01-2020,4453,SID'S GAS and GROCERIES,"1116, Hwy 69 South",Forest City,50436,POINT (-93.637202 43.24898100000001),95,WINNEBAGO,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,64864,Fireball Cinnamon Whisky,24,375,5.33,8,24,192,9,2.37
29,INV-24299900085,02-01-2020,2556,Hy-Vee Wine and Spirits / Estherville,1033 Central Avenue,Estherville,51334,POINT (-94.829962 43.402096),32,EMMET,1081400,American Schnapps,421,SAZERAC COMPANY  INC,83907,Maui Blue Hawaiian Schnapps,12,1000,4.54,6.81,2,13.62,2,0.52
30,INV-24293900055,02-01-2020,2648,Hy-Vee #4 / WDM,555 S 51st St,West Des Moines,50265,POINT (-93.773557 41.561197),77,POLK,1071100,Cocktails /RTD,55,SAZERAC NORTH AMERICA,57174,Chi-Chi's Skinny Margarita,6,1750,6.5,9.75,6,55.56,10.5,2.77
31,INV-24312100022,02-01-2020,4485,DYNO'S 51 / SANBORN,101 W 7th St,Sanborn,51248,POINT (-95.656064 43.186035000000004),71,OBRIEN,1031100,American Vodkas,322,Prestige Wine & Spirits Group,37141,Kinky Vodka,6,750,7,10.5,4,42,3,0.79
32,INV-24293800018,02-01-2020,3899,Wal-Mart 3762 / WDM,6365 Stagecoach Dr,West Des Moines,50266,POINT (-93.795512 41.558107),77,POLK,1011200,Straight Bourbon Whiskies,259,Heaven Hill Brands,17958,Evan Williams Black,6,1750,15.5,23.25,6,139.5,10.5,2.77
33,INV-24300000006,02-01-2020,5762,Casey's General Store #1329 / Estherville,8 Central Ave,Estherville,51334,POINT (-94.843561 43.401909),32,EMMET,1062400,Spiced Rum,260,DIAGEO AMERICAS,43285,Captain Morgan Original Spiced PET,12,750,9.06,13.59,12,163.08,9,2.37
34,INV-24295200131,02-01-2020,2590,Hy-Vee Food Store #5 / Cedar Rapids,3235 Oakland Road NE,Cedar Rapids,52402,POINT (-91.658105 42.010971),57,LINN,1031200,American Flavored Vodka,259,Heaven Hill Brands,40152,Deep Eddy Cranberry,12,750,8.5,12.75,12,153,9,2.37
35,INV-24313500004,02-01-2020,3866,Target Store T-1170 / Ames,320 S Duff,Ames,50010,POINT (-93.61036300000002 42.019875000000006),85,STORY,1031100,American Vodkas,301,FIFTH GENERATION INC,38176,Titos Handmade Vodka,12,750,10,15,36,520.56,27,7.13
36,INV-24315000015,02-01-2020,4446,QUIK TRIP #513 / URBANDALE,4600 Merle Hay Rd,Urbandale,50322,POINT (-93.697999 41.644296),77,POLK,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,64863,Fireball Cinnamon Whiskey,48,200,2.5,3.75,5,18.75,1,0.26
37,INV-24291300036,02-01-2020,3625,Wal-Mart 0892 / Ankeny,1002 SE National Dr,Ankeny,50021,POINT (-93.582348 41.70486400000001),77,POLK,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,64868,Fireball Cinnamon Whiskey,6,1750,15.33,23,6,138,10.5,2.77
38,INV-24308800063,02-01-2020,2601,Hy-Vee Food Store / Fairfield,1300 West Burlington Ave,Fairfield,52556,POINT (-91.978702 41.006456),51,JEFFERSON,1012100,Canadian Whiskies,395,PROXIMO,14208,Pendleton 1910,6,750,22,33,2,66,1.5,0.39
39,INV-24313300043,02-01-2020,4129,Cyclone Liquors,626 Lincoln Way,Ames,50010,POINT (-93.618911 42.022854),85,STORY,1081300,American Cordials & Liqueur,65,Jim Beam Brands,85526,Dekuyper Blue Curacao,12,750,5.25,7.88,2,15.76,1.5,0.39
40,INV-24300800023,02-01-2020,5655,One Stop Shop #3 / Algona,220 S Phillips St,Algona,50511,POINT (-94.226877 43.06732),55,KOSSUTH,1012400,Irish Whiskies,370,PERNOD RICARD USA,15626,Jameson,12,750,16.49,24.74,3,74.22,2.25,0.59
41,INV-24310200034,02-01-2020,5315,Brother's Market Wine and Spirits,110 South Main Street,Sigourney,52591,POINT (-92.20510500000002 41.333293),54,KEOKUK,1081500,Triple Sec,434,LUXCO INC,86251,Juarez Triple Sec,12,1000,2.42,3.63,3,10.89,3,0.79
42,INV-24300600053,02-01-2020,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona,50511,POINT (-94.235955 43.08091),55,KOSSUTH,1031200,American Flavored Vodka,259,Heaven Hill Brands,39922,Deep Eddy Peach,12,750,8.5,12.75,6,76.5,4.5,1.18
43,INV-24299400016,02-01-2020,2684,Hy-Vee - Forest City,315 HWY 69 North,Forest City,50436,POINT (-93.63235 43.266826),95,WINNEBAGO,1011200,Straight Bourbon Whiskies,65,Jim Beam Brands,19486,Makers 46,6,750,21,31.5,2,63,1.5,0.39
44,INV-24294000117,02-01-2020,2521,Hy-Vee Food and Drug / Grand / WDM,1990 Grand Avenue,West Des Moines,50265,POINT (-93.73162 41.571127),77,POLK,1011100,Blended Whiskies,492,WESTERN SPIRITS BEVERAGE,27428,Bird Dog Peach Mini,5,50,5.8,8.7,1,8.7,0.05,0.01
45,INV-24304100051,02-01-2020,5314,Tobacco Hut & Liquor,3134 Manawa Center Dr. # 9,Council Bluffs,51501,POINT (-95.847514 41.228712),78,POTTAWATTA,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,64864,Fireball Cinnamon Whisky,24,375,5.33,8,10,80,3.75,0.99
46,INV-24293500024,02-01-2020,2620,Hy-Vee / Windsor Heights,7101 University Ave,Windsor Heights,50311,POINT (-93.619787 41.60566),77,Polk,1062100,Gold Rum,389,REMY COINTREAU USA INC,42666,Mt Gay Eclipse Rum,12,750,10.48,15.72,12,179.64,9,2.37
47,INV-24293900187,02-01-2020,2648,Hy-Vee #4 / WDM,555 S 51st St,West Des Moines,50265,POINT (-93.773557 41.561197),77,POLK,1031200,American Flavored Vodka,205,E & J Gallo Winery,40594,New Amsterdam Peach,12,750,7.5,11.25,12,135,9,2.37
48,INV-24294900111,02-01-2020,2647,Hy-Vee #7 / Cedar Rapids,5050 Edgewood Rd,Cedar Rapids,52411,POINT (-91.701581 42.030129),57,LINN,1031100,American Vodkas,301,FIFTH GENERATION INC,38180,Titos Handmade Vodka Mini,5,50,12.8,19.2,10,192,0.5,0.13
49,INV-24307400005,02-01-2020,4522,Casey's General Store #2523 / Monroe,201 Ralph St,Monroe,50170,POINT (-93.099657 41.509806),50,JASPER,1062400,Spiced Rum,260,DIAGEO AMERICAS,43338,Captain Morgan Original Spiced,6,1750,18,27,6,162,10.5,2.77
50,INV-24304100098,02-01-2020,5314,Tobacco Hut & Liquor,3134 Manawa Center Dr. # 9,Council Bluffs,51501,POINT (-95.847514 41.228712),78,POTTAWATTA,1011200,Straight Bourbon Whiskies,65,Jim Beam Brands,27408,Jim Beam Honey Mini,12,50,5.4,8.1,1,8.1,0.05,0.01
51,INV-24314400034,02-01-2020,5128,Price Chopper  /  Beaver #1310,1819 Beaver Ave,Des Moines,50310,POINT (-93.672695 41.610525),77,POLK,1031100,American Vodkas,380,Phillips Beverage,37346,Phillips Vodka,12,750,3.57,5.36,12,64.32,9,2.37
52,INV-24299300048,02-01-2020,4073,"Uptown Liquor, Llc",306 Hwy 69 South,Forest City,50436,POINT (-93.633306 43.261538),95,WINNEBAGO,1091200,Neutral Grain Spirits,434,LUXCO INC,41846,Everclear Alcohol,12,750,8,12,12,144,9,2.37
53,INV-24293600071,02-01-2020,2620,Hy-Vee / Windsor Heights,7101 University Ave,Windsor Heights,50311,POINT (-93.619787 41.60566),77,Polk,1051100,American Brandies,55,SAZERAC NORTH AMERICA,55066,Mr Boston Blackberry Brandy,12,750,4.17,6.26,12,75.12,9,2.37
54,INV-24308900001,02-01-2020,4698,Quality Quick Stop,201 W Burlington Ave,Fairfield,52556,POINT (-91.965379 41.006639),51,JEFFERSON,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,50,30,45,2,90,0.1,0.02
55,INV-24304000030,02-01-2020,4743,Family Fare #791,1801 Valley View Dr,Council Bluffs,51503,POINT (-95.81877500000002 41.24394),78,POTTAWATTA,1012100,Canadian Whiskies,260,DIAGEO AMERICAS,11296,Crown Royal,12,750,15.59,23.39,12,280.68,9,2.37
56,INV-24306300005,02-01-2020,5257,MAD Ave Quik Shop,"405, Madison Ave",Ottumwa,52501,POINT (-93.619787 41.60566),90,WAPELLO,1032100,Imported Vodkas,370,PERNOD RICARD USA,34004,Absolut Swedish Vodka 80prf,24,375,4.99,7.49,3,22.47,1.12,0.29
57,INV-24291000047,02-01-2020,2650,Hy-Vee Wine and Spirits / Harlan,1808 23rd St,Harlan,51537,POINT (-95.339881 41.650658),83,SHELBY,1081300,American Cordials & Liqueur,434,LUXCO INC,79336,Paramount Creme de Menthe Green,12,750,5,7.5,4,30,3,0.79
58,INV-24310800071,02-01-2020,3390,Okoboji Avenue Liquor,1610 Okoboji Avenue,Milford,51351,POINT (-95.149955 43.331525),30,DICKINSON,1031100,American Vodkas,297,Laird & Company,35916,Five O'Clock Vodka,12,750,3.37,5.06,1,5.06,0.75,0.19
59,INV-24299200016,02-01-2020,4453,SID'S GAS and GROCERIES,"1116, Hwy 69 South",Forest City,50436,POINT (-93.637202 43.24898100000001),95,WINNEBAGO,1062400,Spiced Rum,259,Heaven Hill Brands,43024,Admiral Nelson Spiced Rum,24,375,2.99,4.49,24,107.76,9,2.37
60,INV-24303500028,02-01-2020,4475,Bucky's Express #27 / Council Bluffs,2713 S 24th St,Council Bluffs,51501,POINT (-95.879147 41.234536000000006),78,POTTAWATTA,1031100,American Vodkas,55,SAZERAC NORTH AMERICA,35776,Barton Vodka Mini,10,50,3.92,5.88,3,17.64,0.15,0.03
61,INV-24306300023,02-01-2020,5257,MAD Ave Quik Shop,"405, Madison Ave",Ottumwa,52501,POINT (-93.619787 41.60566),90,WAPELLO,1012300,Single Malt Scotch,65,Jim Beam Brands,5446,Laphroaig 10YR,12,750,23.62,35.43,1,35.43,0.75,0.19
62,INV-24304300009,02-01-2020,3477,Sam's Club 6472 / Council Bluffs,3221 Manawa Centre Dr,Council Bluffs,51501,POINT (-95.847163 41.225208),78,POTTAWATTA,1031100,American Vodkas,55,SAZERAC NORTH AMERICA,35317,Barton Vodka,12,1000,3.97,5.96,36,214.56,36,9.51
63,INV-24307700094,02-01-2020,2642,Hy-Vee Wine and Spirits / Pella,512 E Oskaloosa,Pella,50219,POINT (-92.899277 41.396961000000005),63,MARION,1032100,Imported Vodkas,370,PERNOD RICARD USA,34004,Absolut Swedish Vodka 80prf,24,375,4.99,7.49,6,44.94,2.25,0.59
64,INV-24295500046,02-01-2020,4634,Kwik Shop #565 / Cedar Rapids,"4201, Center Point Rd NE",Cedar Rapids,52402,POINT (-91.665659 42.021931),57,LINN,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,86881,Southern Comfort Mini,10,50,5.65,8.48,1,8.48,0.05,0.01
65,INV-24299700014,02-01-2020,4272,Fareway Stores #407 / Esterville,1108 Central Ave,Estherville,51334,POINT (-94.829963 43.402096),32,EMMET,1071100,Cocktails /RTD,55,SAZERAC NORTH AMERICA,57129,Chi-Chi's Mexican Mudslide,6,1750,6.5,9.75,6,55.56,10.5,2.77
66,INV-24305900088,02-01-2020,2191,Keokuk Spirits,1013 Main,Keokuk,52632,POINT (-91.387797 40.400038),56,LEE,1012100,Canadian Whiskies,260,DIAGEO AMERICAS,11299,Crown Royal,44,200,5,7.5,3,22.5,0.6,0.15
67,INV-24292100005,02-01-2020,4726,Walgreens #07454 / Ankeny,901 N Ankeny Blvd,Ankeny,50021,POINT (-93.619787 41.60566),77,POLK,1032100,Imported Vodkas,260,DIAGEO AMERICAS,34456,Ketel One,12,750,12.5,18.75,12,225,9,2.37
68,INV-24305300013,02-01-2020,5448,Fareway Stores #177/ Fort Madison,1820 Avenue H,Fort Madison,52627,POINT (-91.33056 40.630216),56,LEE,1031200,American Flavored Vodka,260,DIAGEO AMERICAS,77858,Smirnoff Whipped Cream,12,750,8.25,12.38,3,37.14,2.25,0.59
69,INV-24293700029,02-01-2020,2619,Hy-Vee Wine and Spirits / WDM,1725  74th St,West Des Moines,50266,POINT (-93.808855 41.598515),77,POLK,1082000,Imported Cordials & Liqueurs,192,"Mast-Jagermeister US, Inc",65256,Jagermeister Liqueur,12,750,12.45,18.68,12,224.16,9,2.37
70,INV-24308500019,02-01-2020,4021,Wal-Mart 0985 / Fairfield,2701 W Burlington Ave,Fairfield,52556,POINT (-91.993721 41.006375),51,JEFFERSON,1062200,White Rum,55,SAZERAC NORTH AMERICA,46142,Caliber Silver Rum,6,1750,7.35,11.03,6,66.18,10.5,2.77
71,INV-24311400038,02-01-2020,2522,Hy-Vee Wine and Spirits / Spirit Lake,Hwy 9 & 71,Spirit Lake,51360,POINT (-93.619787 41.60566),30,DICKINSON,1031100,American Vodkas,260,DIAGEO AMERICAS,37993,Smirnoff 80prf,48,200,2.54,3.81,4,15.24,0.8,0.21
72,INV-24290800087,02-01-2020,2500,Hy-Vee Food Store #1 / Ames,3800 W Lincoln Way,Ames,50010,POINT (-93.619787 41.60566),85,STORY,1031100,American Vodkas,55,SAZERAC NORTH AMERICA,37938,Skol Vodka,6,1750,7.11,10.67,6,61.02,10.5,2.77
73,INV-24303400020,02-01-2020,4867,Speedy Gas N Shop,430 S 35th St,Council Bluffs,51501,POINT (-95.902023 41.257663),78,POTTAWATTA,1012100,Canadian Whiskies,260,DIAGEO AMERICAS,10803,Crown Royal Regal Apple Mini,10,50,7.35,11.03,10,110.3,0.5,0.13
74,INV-24314600016,02-01-2020,4382,Kum & Go #8 / 8th St / WDM,1293 8th Ave,West Des Moines,50265,POINT (-93.619787 41.60566),77,POLK,1031100,American Vodkas,205,E & J Gallo Winery,36968,New Amsterdam 80prf,24,375,3.5,5.25,4,21,1.5,0.39
75,INV-24295800008,02-01-2020,2605,Hy-Vee Drugstore #5 / Cedar Rapids,2001 Blairs Ferry Road NE,Cedar Rapids,52402,POINT (-91.668909 42.034799),57,LINN,1031100,American Vodkas,55,SAZERAC NORTH AMERICA,35316,Barton Vodka,12,750,3.37,5.06,12,60.72,9,2.37
76,INV-24293600029,02-01-2020,2620,Hy-Vee / Windsor Heights,7101 University Ave,Windsor Heights,50311,POINT (-93.619787 41.60566),77,Polk,1041100,American Dry Gins,434,LUXCO INC,30528,Hawkeye Gin,6,1750,7.17,10.76,6,64.56,10.5,2.77
77,INV-24302600018,02-01-2020,5671,Russ's Market #30,900 S Locust,Glenwood,51534,POINT (-95.745944 41.038205),65,MILLS,1011100,Blended Whiskies,260,DIAGEO AMERICAS,25608,Seagrams 7 Crown,6,1750,12.96,19.44,6,116.64,10.5,2.77
78,INV-24290400043,02-01-2020,2502,Hy-Vee Wine and Spirits / Ankeny,410 North Ankeny Blvd,Ankeny,50021,POINT (-93.619787 41.60566),77,POLK,1081200,Cream Liqueurs,259,Heaven Hill Brands,68126,Carolans Irish Cream,12,750,9,13.5,12,153,9,2.37
79,INV-24306800097,02-01-2020,2543,Hy-Vee Food Store #1 / Ottumwa,1025 North Quincy Ave,Ottumwa,52501,POINT (-92.438463 41.01558),90,Wapello,1022200,100% Agave Tequila,410,Patron Spirits Company,88290,Patron Silver,12,200,9,13.5,4,54,0.8,0.21
80,INV-24306200027,02-01-2020,4296,Circle B Market,111 Main St,Keosauqua,52565,POINT (-91.962466 40.7294),89,VAN BUREN,1031200,American Flavored Vodka,380,Phillips Beverage,41989,UV Cake,12,750,6.5,9.75,2,19.5,1.5,0.39
81,INV-24296000012,02-01-2020,4624,Kwik Shop #568 / Hiawatha,300 E Blairs Ferry Rd,Hiawatha,52233,POINT (-91.673066 42.034757),57,LINN,1032100,Imported Vodkas,370,PERNOD RICARD USA,34004,Absolut Swedish Vodka 80prf,24,375,4.99,7.49,24,179.76,9,2.37
82,INV-24294000061,02-01-2020,2521,Hy-Vee Food and Drug / Grand / WDM,1990 Grand Avenue,West Des Moines,50265,POINT (-93.73162 41.571127),77,POLK,1031100,American Vodkas,301,FIFTH GENERATION INC,38177,Titos Handmade Vodka,12,1000,12.67,19.01,12,228.12,12,3.17
83,INV-24292700005,02-01-2020,4810,Kum & Go #518 / Ankeny,3603 NE Otterview Circle,Ankeny,50021,POINT (-93.572458 41.760989),77,POLK,1032100,Imported Vodkas,115,CONSTELLATION BRANDS INC,34820,Svedka 80prf,12,750,8.25,12.38,2,24.76,1.5,0.39
84,INV-24295100012,02-01-2020,4636,Kwik Shop #561 / Cedar Rapids,2904 Center Point Rd NE,Cedar Rapids,52402,POINT (-91.662822 42.007194),57,LINN,1011100,Blended Whiskies,297,Laird & Company,23826,Five Star,12,750,3.5,5.25,6,31.5,4.5,1.18
85,INV-24295100023,02-01-2020,4636,Kwik Shop #561 / Cedar Rapids,2904 Center Point Rd NE,Cedar Rapids,52402,POINT (-91.662822 42.007194),57,LINN,1031100,American Vodkas,260,DIAGEO AMERICAS,37993,Smirnoff 80prf,48,200,2.54,3.81,10,38.1,2,0.52
86,INV-24310600002,02-01-2020,2565,Hy-Vee Food Store #1636 / Spencer,819 N Grand Ave,Spencer,51301,POINT (-95.14506 43.145897),21,CLAY,1012200,Scotch Whiskies,35,BACARDI USA INC,4867,Dewars White Label Scotch,12,1000,17.5,26.25,2,52.5,2,0.52
87,INV-24300800034,02-01-2020,5655,One Stop Shop #3 / Algona,220 S Phillips St,Algona,50511,POINT (-94.226877 43.06732),55,KOSSUTH,1022200,100% Agave Tequila,240,William Grant & Sons Inc,88116,Milagro Silver,6,750,16.5,24.75,2,49.5,1.5,0.39
88,INV-24296500027,02-01-2020,2512,Hy-Vee Wine and Spirits / Iowa City,1720 Waterfront Dr,Iowa City,52240,POINT (-91.53046300000001 41.642764),52,JOHNSON,1042100,Imported Dry Gins,35,BACARDI USA INC,28236,Bombay Sapphire Gin,12,750,13.5,20.25,12,243,9,2.37
89,INV-24299800006,02-01-2020,2556,Hy-Vee Wine and Spirits / Estherville,1033 Central Avenue,Estherville,51334,POINT (-94.829962 43.402096),32,EMMET,1031100,American Vodkas,301,FIFTH GENERATION INC,38177,Titos Handmade Vodka,12,1000,12.67,19.01,12,228.12,12,3.17
90,INV-24300600056,02-01-2020,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona,50511,POINT (-94.235955 43.08091),55,KOSSUTH,1081300,American Cordials & Liqueur,259,Heaven Hill Brands,72722,Christian Bros Honey,12,750,6,9,6,54,4.5,1.18
91,INV-24296900114,02-01-2020,2625,Hy-Vee Wine & Spirits #2 / Davenport,3301 W Kimberly Rd,Davenport,52804,POINT (-93.619787 41.60566),82,SCOTT,1011100,Blended Whiskies,300,McCormick Distilling Co.,24706,Mccormick Blend Whiskey,12,750,4.09,6.14,3,16.11,2.25,0.59
